Unnamed: 0,id,text,Hashtags,date,follower_count
377,1393289631161065474,Venmo now lets users buy and sell Bitcoin and Ethereum #technology #business #mobile #google #blockchain #youtube #live,"[{'text': 'technology', 'indices': [70, 81]}, {'text': 'business', 'indices': [82, 91]}, {'text': 'mobile', 'indices': [92, 99]}, {'text': 'google', 'indices': [100, 107]}, {'text': 'blockchain', 'indices': [108, 119]}, {'text': 'youtube', 'indices': [120, 128]}, {'text': 'live', 'indices': [129, 134]}]",2021-05-14 19:38:28,3831
378,1393289620490698754,Venmo now lets users buy and sell Bitcoin and Ethereum #technology #business #mobile #google #blockchain #youtube #live,"[{'text': 'technology', 'indices': [70, 81]}, {'text': 'business', 'indices': [82, 91]}, {'text': 'mobile', 'indices': [92, 99]}, {'text': 'google', 'indices': [100, 107]}, {'text': 'blockchain', 'indices': [108, 119]}, {'text': 'youtube', 'indices': [120, 128]}, {'text': 'live', 'indices': [129, 134]}]",2021-05-14 19:38:26,353
379,1393289608566165504,Venmo now lets users buy and sell Bitcoin and Ethereum #technology #business #mobile #google #blockchain #youtube,"[{'text': 'technology', 'indices': [55, 66]}, {'text': 'business', 'indices': [67, 76]}, {'text': 'mobile', 'indices': [77, 84]}, {'text': 'google', 'indices': [85, 92]}, {'text': 'blockchain', 'indices': [93, 104]}, {'text': 'youtube', 'indices': [105, 113]}]",2021-05-14 19:38:23,8829
380,1393289577754923013,Virtual Learning Here Stay for #technology #business #bitcoin #youtube #live daysofcode #nowplaying #security,"[{'text': 'technology', 'indices': [57, 68]}, {'text': 'business', 'indices': [69, 78]}, {'text': 'bitcoin', 'indices': [79, 87]}, {'text': 'youtube', 'indices': [88, 96]}, {'text': 'live', 'indices': [97, 102]}, {'text': '100daysofcode', 'indices': [103, 117]}, {'text': 'nowplaying', 'indices': [118, 129]}, {'text': 'security', 'indices': [130, 139]}]",2021-05-14 19:38:16,842
381,1393289460629049345,Virtual Learning Here Stay for #technology #business #bitcoin #youtube #live daysofcode #nowplaying #security,"[{'text': 'technology', 'indices': [57, 68]}, {'text': 'business', 'indices': [69, 78]}, {'text': 'bitcoin', 'indices': [79, 87]}, {'text': 'youtube', 'indices': [88, 96]}, {'text': 'live', 'indices': [97, 102]}, {'text': '100daysofcode', 'indices': [103, 117]}, {'text': 'nowplaying', 'indices': [118, 129]}, {'text': 'security', 'indices': [130, 139]}]",2021-05-14 19:37:48,3831
382,1393289452408254472,Virtual Learning Here Stay for #technology #business #bitcoin #youtube #live daysofcode #nowplaying #security,"[{'text': 'technology', 'indices': [57, 68]}, {'text': 'business', 'indices': [69, 78]}, {'text': 'bitcoin', 'indices': [79, 87]}, {'text': 'youtube', 'indices': [88, 96]}, {'text': 'live', 'indices': [97, 102]}, {'text': '100daysofcode', 'indices': [103, 117]}, {'text': 'nowplaying', 'indices': [118, 129]}, {'text': 'security', 'indices': [130, 139]}]",2021-05-14 19:37:46,353
383,1393289438080290816,Virtual Learning Here Stay for #technology #business #bitcoin #youtube #live daysofcode #nowplaying,"[{'text': 'technology', 'indices': [42, 53]}, {'text': 'business', 'indices': [54, 63]}, {'text': 'bitcoin', 'indices': [64, 72]}, {'text': 'youtube', 'indices': [73, 81]}, {'text': 'live', 'indices': [82, 87]}, {'text': '100daysofcode', 'indices': [88, 102]}, {'text': 'nowplaying', 'indices': [103, 114]}]",2021-05-14 19:37:42,8829
384,1393289307067138050,DevOps the Federal Government What Means and How Can Help #google #video #amazon daysofcode #infosec #devops,"[{'text': 'google', 'indices': [83, 90]}, {'text': 'video', 'indices': [91, 97]}, {'text': 'amazon', 'indices': [98, 105]}, {'text': '100daysofcode', 'indices': [106, 120]}, {'text': 'infosec', 'indices': [121, 129]}, {'text': 'devops', 'indices': [130, 137]}]",2021-05-14 19:37:11,730
385,1393288978133102592,New feature idea Integrate #Google doc feature into Hangouts chat box Automatically turns the chat convo into meeting notes,"[{'text': 'Google', 'indices': [28, 35]}]",2021-05-14 19:35:53,1280
386,1393288872143081482,Here how Web Webb Digital Marketing different #DigitalMarketingServices #digitalmarketingagency #Website #Websit,"[{'text': 'DigitalMarketingServices', 'indices': [73, 98]}, {'text': 'digitalmarketingagency', 'indices': [99, 122]}, {'text': 'Website', 'indices': [123, 131]}]",2021-05-14 19:35:27,1384
387,1393288807106203648,DevOps the Federal Government What Means and How Can Help #google #video #amazon daysofcode #infosec #devops,"[{'text': 'google', 'indices': [83, 90]}, {'text': 'video', 'indices': [91, 97]}, {'text': 'amazon', 'indices': [98, 105]}, {'text': '100daysofcode', 'indices': [106, 120]}, {'text': 'infosec', 'indices': [121, 129]}, {'text': 'devops', 'indices': [130, 137]}]",2021-05-14 19:35:12,842
388,1393288769424568323,Here What the Dreams Google Artificial Intelligence Look Like #Google,"[{'text': 'Google', 'indices': [96, 103]}]",2021-05-14 19:35:03,5914
389,1393288560275492864,and discuss the episode Hundred Yards Over The Rim and the practicality wearing stove,[],2021-05-14 19:34:13,1339
390,1393288560250433536,These extensions EAD are basic needs force immigrants into Servitude leading Suppression,"[{'text': 'H1B', 'indices': [38, 42]}, {'text': 'H4EAD', 'indices': [55, 61]}]",2021-05-14 19:34:13,75
391,1393288486191603712,How many ladies experience this you don know what ASK #Google,"[{'text': 'Google', 'indices': [68, 75]}]",2021-05-14 19:33:55,1490
392,1393288463517061121,Today #GoogleDoodle celebrates Happy National Day Paraguay #GoogleDoodle Find out more,"[{'text': 'GoogleDoodle', 'indices': [8, 21]}, {'text': 'GoogleDoodle', 'indices': [63, 76]}]",2021-05-14 19:33:50,345
