,id,text,User
0,1358658587644596224,Back to work I go …,
1,1358650427114422272,@CapybaraSurfer @MattWallace888 Does seem a bit high,
2,1358648653573992450,"@itsALLrisky Doge appears to be inflationary, but is not meaningfully so (fixed # of coins per unit time), whereas… https://t.co/4UH4rARC6T",
3,1358621524748496896,@MichaelGalanin @kevinmgill Wow,
4,1358594029101879298,"@Erdayastronaut @michaelhodapp_ 1. Orbital launch tower that can stack
2. Enough Raptors for orbit booster
3. Improve ship &amp; booster mass",
