,date,1. open,2. high,3. low,4. close,5. volume
0,2021-07-27 20:00:00,2721.9999,2722.0,2719.77,2722.0,1980.0
1,2021-07-27 19:30:00,2725.0,2725.0,2723.0,2723.0,358.0
2,2021-07-27 19:15:00,2720.0,2728.0,2720.0,2725.0,2118.0
3,2021-07-27 19:00:00,2719.0,2719.0,2719.0,2719.0,340.0
4,2021-07-27 18:45:00,2724.98,2725.0,2716.75,2716.99,2022.0
5,2021-07-27 18:30:00,2718.0,2730.0,2718.0,2730.0,5174.0
6,2021-07-27 18:15:00,2720.0,2720.15,2715.1,2720.0,3789.0
7,2021-07-27 18:00:00,2713.5,2720.0,2713.5,2717.75,4078.0
8,2021-07-27 17:45:00,2717.0,2721.99,2716.99,2716.99,12052.0
9,2021-07-27 17:30:00,2728.6,2731.96,2718.9,2720.0,22901.0
10,2021-07-27 17:15:00,2716.0,2726.01,2716.0,2723.8,17670.0
11,2021-07-27 17:00:00,2724.99,2729.0,2710.85,2714.85,24343.0
12,2021-07-27 16:45:00,2738.8,2739.4,2638.0,2722.0,99828.0
13,2021-07-27 16:30:00,2709.43,2775.0,2709.0,2741.01,293063.0
14,2021-07-27 16:15:00,2638.0,2710.03,2605.0,2707.33,108384.0
15,2021-07-27 16:00:00,2633.84,2639.74,2628.66,2639.2,283451.0
16,2021-07-27 15:45:00,2630.85,2634.69,2628.55,2632.88,73261.0
17,2021-07-27 15:30:00,2634.1,2636.18,2626.2881,2631.62,72235.0
18,2021-07-27 15:15:00,2631.7,2638.56,2631.7,2632.775,71910.0
19,2021-07-27 15:00:00,2624.375,2632.32,2622.32,2630.47,54571.0
20,2021-07-27 14:45:00,2618.965,2627.5399,2618.965,2623.6525,57703.0
21,2021-07-27 14:30:00,2608.35,2624.17,2608.35,2619.17,77604.0
22,2021-07-27 14:15:00,2605.03,2609.33,2603.0,2607.84,73557.0
23,2021-07-27 14:00:00,2612.39,2616.96,2603.46,2603.46,45330.0
24,2021-07-27 13:45:00,2607.61,2613.12,2605.28,2612.5,69736.0
25,2021-07-27 13:30:00,2609.35,2612.19,2602.08,2606.45,68123.0
26,2021-07-27 13:15:00,2618.61,2620.1878,2606.43,2607.54,62896.0
27,2021-07-27 13:00:00,2627.31,2627.98,2616.58,2617.23,40752.0
28,2021-07-27 12:45:00,2627.12,2628.19,2619.93,2626.46,57004.0
29,2021-07-27 12:30:00,2629.205,2632.5,2625.81,2627.49,32395.0
30,2021-07-27 12:15:00,2636.0,2636.0,2626.77,2628.2,43711.0
31,2021-07-27 12:00:00,2628.92,2642.6199,2628.29,2638.66,74719.0
32,2021-07-27 11:45:00,2632.85,2634.27,2624.365,2627.44,58399.0
33,2021-07-27 11:30:00,2643.39,2643.66,2624.215,2634.05,67916.0
34,2021-07-27 11:15:00,2642.54,2652.125,2640.14,2642.87,61871.0
35,2021-07-27 11:00:00,2651.01,2651.904,2633.03,2643.61,91095.0
36,2021-07-27 10:45:00,2670.8,2670.8,2643.54,2651.05,72468.0
37,2021-07-27 10:30:00,2666.37,2671.2,2656.75,2670.67,91814.0
38,2021-07-27 10:15:00,2678.45,2684.26,2667.215,2667.37,58604.0
39,2021-07-27 10:00:00,2680.435,2687.98,2676.13,2678.91,66610.0
40,2021-07-27 09:45:00,2685.01,2686.71,2673.465,2676.84,139687.0
41,2021-07-27 09:30:00,2690.0,2690.0,2685.55,2685.55,3082.0
42,2021-07-27 09:15:00,2694.85,2694.85,2687.0,2687.0,668.0
43,2021-07-27 09:00:00,2696.98,2696.98,2696.98,2696.98,116.0
44,2021-07-27 08:45:00,2692.35,2692.35,2690.0,2691.95,2374.0
45,2021-07-27 08:30:00,2687.03,2687.03,2687.03,2687.03,110.0
46,2021-07-27 08:15:00,2697.0,2697.0,2680.7,2692.26,1305.0
47,2021-07-27 08:00:00,2695.0,2695.0,2695.0,2695.0,274.0
48,2021-07-27 07:45:00,2692.0,2696.14,2692.0,2696.0,1320.0
49,2021-07-27 07:30:00,2692.0,2696.99,2692.0,2696.73,1489.0
50,2021-07-27 07:15:00,2690.16,2696.65,2690.16,2692.61,4422.0
51,2021-07-27 06:30:00,2684.0,2684.0,2684.0,2684.0,100.0
52,2021-07-27 05:15:00,2679.0,2679.0,2679.0,2679.0,203.0
53,2021-07-26 20:00:00,2694.0,2694.0,2694.0,2694.0,121.0
54,2021-07-26 19:45:00,2685.0,2694.82,2685.0,2694.82,917.0
55,2021-07-26 19:15:00,2686.8,2686.8,2686.8,2686.8,205.0
56,2021-07-26 18:15:00,2687.0,2687.0,2680.7,2680.7,6299.0
57,2021-07-26 17:45:00,2682.03,2682.03,2682.03,2682.03,113.0
58,2021-07-26 17:15:00,2684.6,2685.0,2684.6,2685.0,504.0
59,2021-07-26 16:45:00,2682.0,2682.0,2682.0,2682.0,451.0
60,2021-07-26 16:30:00,2681.05,2681.05,2681.05,2681.05,129.0
61,2021-07-26 16:15:00,2680.7,2680.7,2680.7,2680.7,49979.0
62,2021-07-26 16:00:00,2671.92,2684.74,2670.0,2683.52,180870.0
63,2021-07-26 15:45:00,2678.58,2679.93,2671.68,2671.68,57970.0
64,2021-07-26 15:30:00,2676.85,2679.74,2673.89,2678.975,51307.0
65,2021-07-26 15:15:00,2673.56,2677.26,2672.9,2676.25,40064.0
66,2021-07-26 15:00:00,2669.21,2675.63,2669.21,2674.39,40379.0
67,2021-07-26 14:45:00,2665.38,2668.72,2663.5747,2668.72,27369.0
68,2021-07-26 14:30:00,2666.04,2666.77,2663.4401,2665.66,26685.0
69,2021-07-26 14:15:00,2658.31,2668.72,2657.81,2666.69,32580.0
70,2021-07-26 14:00:00,2662.625,2662.625,2656.88,2658.0,30665.0
71,2021-07-26 13:45:00,2663.69,2663.69,2660.69,2662.18,24631.0
72,2021-07-26 13:30:00,2667.73,2668.17,2663.62,2665.4,17662.0
73,2021-07-26 13:15:00,2666.44,2668.905,2666.05,2668.905,14096.0
74,2021-07-26 13:00:00,2663.55,2665.72,2663.0,2665.72,30194.0
75,2021-07-26 12:45:00,2663.855,2664.26,2661.88,2663.615,13368.0
76,2021-07-26 12:30:00,2671.27,2671.27,2664.31,2664.31,22899.0
77,2021-07-26 12:15:00,2667.08,2674.02,2667.08,2671.24,37491.0
78,2021-07-26 12:00:00,2659.3401,2667.06,2659.3401,2667.06,36582.0
79,2021-07-26 11:45:00,2658.0,2659.93,2657.71,2659.85,22836.0
80,2021-07-26 11:30:00,2654.5,2658.28,2654.17,2657.485,26729.0
81,2021-07-26 11:15:00,2656.735,2658.14,2653.76,2654.5,34154.0
82,2021-07-26 11:00:00,2660.0,2660.0,2655.9001,2657.02,32959.0
83,2021-07-26 10:45:00,2656.685,2667.97,2656.575,2660.05,57342.0
84,2021-07-26 10:30:00,2657.61,2660.0,2652.62,2658.2199,44893.0
85,2021-07-26 10:15:00,2662.325,2666.98,2656.495,2657.98,71111.0
86,2021-07-26 10:00:00,2665.7715,2667.09,2658.8301,2662.0,62763.0
87,2021-07-26 09:45:00,2666.565,2668.97,2646.03,2664.69,169000.0
88,2021-07-26 09:30:00,2664.33,2670.0,2664.33,2666.96,3046.0
89,2021-07-26 09:00:00,2667.0,2667.0,2662.0,2662.0,945.0
90,2021-07-26 08:45:00,2667.67,2667.67,2665.7,2665.9,1102.0
91,2021-07-26 08:30:00,2667.0,2667.0,2667.0,2667.0,2391.0
92,2021-07-26 08:15:00,2662.4838,2667.0,2662.35,2667.0,1354.0
93,2021-07-26 08:00:00,2668.0,2668.0,2666.0,2666.0,1094.0
94,2021-07-26 07:45:00,2664.8,2668.23,2664.8,2668.0,1334.0
95,2021-07-26 07:15:00,2660.01,2660.01,2660.01,2660.01,435.0
96,2021-07-26 05:30:00,2655.0,2655.0,2655.0,2655.0,246.0
97,2021-07-26 04:15:00,2664.94,2664.94,2650.0,2650.0,378.0
98,2021-07-23 20:00:00,2663.0,2663.0,2663.0,2663.0,226.0
99,2021-07-23 19:45:00,2660.0,2660.0,2660.0,2660.0,141.0
